,tweet,sentiment,tweet,location
0,Coronavirus self quarantine day 81: TGIF! In five days I will be coming out of quarantine to fly south to visit my nephew and put my toes in the sand and I can't mother trucking wait! The count down is on...so get… https://t.co/27ao6ZIRu3,0.4222222222222222,Coronavirus self quarantine day 81: TGIF! In five days I will be coming out of quarantine to fly south to visit my nephew and put my toes in the sand and I can't mother trucking wait! The count down is on...so get… https://t.co/27ao6ZIRu3,Tennessee
1,Our first date night in months was green and leafy. Now I am safe back in my cave. There was insufficient physical distancing going on In the pay line. #COVID19 @ Jacks Urban Eats Elk Grove https://t.co/SbsPbHAOeg,0.09166666666666667,Our first date night in months was green and leafy. Now I am safe back in my cave. There was insufficient physical distancing going on In the pay line. #COVID19 @ Jacks Urban Eats Elk Grove https://t.co/SbsPbHAOeg,California
2,"So proud to announce that the City of Monterey Park is emergency rental, small business, and utility assistance to residents and small business owners whose income has been drastically affected by COVID-19. If… https://t.co/DaT1Pgxrqh",0.10000000000000002,"So proud to announce that the City of Monterey Park is emergency rental, small business, and utility assistance to residents and small business owners whose income has been drastically affected by COVID-19. If… https://t.co/DaT1Pgxrqh",California
3,Some traffic going to the 909 ... but still better than pre-Covid 19 @ 91 &amp; 71 Interchange https://t.co/Ii4JE4cNkc,0.5,Some traffic going to the 909 ... but still better than pre-Covid 19 @ 91 &amp; 71 Interchange https://t.co/Ii4JE4cNkc,California
4,"My first trip to a bar post Covid-19 
👍👍👍 @ Shamrocks Pubandgrill https://t.co/wPcVaqhVWa",0.25,"My first trip to a bar post Covid-19 
👍👍👍 @ Shamrocks Pubandgrill https://t.co/wPcVaqhVWa",California
5,"6.20 Black Lives Matter. Covid19
•
“In a racist society it is not enough to be non-racist, we must be anti-racist.”
— Angela Davis
•
#blm #blacklivesmatter✊🏽✊🏾✊🏿 #bushwick #facemask #ootd #love #hug #hasselblad… https://t.co/U3c7GwQYkk",0.11111111111111112,"6.20 Black Lives Matter. Covid19
•
“In a racist society it is not enough to be non-racist, we must be anti-racist.”
— Angela Davis
•
#blm #blacklivesmatter✊🏽✊🏾✊🏿 #bushwick #facemask #ootd #love #hug #hasselblad… https://t.co/U3c7GwQYkk",New York
6,"Stayed home during quarantine

Washed hands and survived a pandemic

Graduated early

Turned 18 and Graduated on the same day

Added some fun to my plain cap and gown

#2020 #graduation… https://t.co/OCOOJI815U",0.04642857142857144,"Stayed home during quarantine

Washed hands and survived a pandemic

Graduated early

Turned 18 and Graduated on the same day

Added some fun to my plain cap and gown

#2020 #graduation… https://t.co/OCOOJI815U",Minnesota
7,"❌ Dirty on the left, clean on the right 💎

https://t.co/kh9yw7eOt2
https://t.co/iPXd3kMsVB
https://t.co/TzCkOwi96F
https://t.co/x6TOlDoa91
☎️ (781) 333-8758

#clean 
#coronavirus 
#home 
#house 
#cure… https://t.co/ECBdu2uynq",0.08380952380952382,"❌ Dirty on the left, clean on the right 💎

https://t.co/kh9yw7eOt2
https://t.co/iPXd3kMsVB
https://t.co/TzCkOwi96F
https://t.co/x6TOlDoa91
☎️ (781) 333-8758

#clean 
#coronavirus 
#home 
#house 
#cure… https://t.co/ECBdu2uynq",Massachusetts
8,Catching up with old friends in Corona Heights this evening... @ Corona Heights https://t.co/R4Y22bGQtu,0.35,Catching up with old friends in Corona Heights this evening... @ Corona Heights https://t.co/R4Y22bGQtu,California
9,"I Fell Back #musicislife #singersongwriter #voisey #covid19 #2020 #writing #singing @ Oklahoma City, Oklahoma https://t.co/4k4yqVX2Te",0.0,"I Fell Back #musicislife #singersongwriter #voisey #covid19 #2020 #writing #singing @ Oklahoma City, Oklahoma https://t.co/4k4yqVX2Te",Oklahoma
10,https://t.co/q1bIRBjDj8 Texas health officials are launching a study to look into why COVID-19 could be having a greater impact on vulnerable populations in the state. https://t.co/8EgUAXygDt #atx #austin #all512,0.0,https://t.co/q1bIRBjDj8 Texas health officials are launching a study to look into why COVID-19 could be having a greater impact on vulnerable populations in the state. https://t.co/8EgUAXygDt #atx #austin #all512,Texas
11,"#50andfabulous Our office manager #rightbymyside #working #firstweekback 
after #govcuomo announced #reopening of all #dentaloffice #statewide even on her #50thbirthday #love #staff #cdc #guidelines #covid19… https://t.co/KSaVMU4ANz",0.5,"#50andfabulous Our office manager #rightbymyside #working #firstweekback 
after #govcuomo announced #reopening of all #dentaloffice #statewide even on her #50thbirthday #love #staff #cdc #guidelines #covid19… https://t.co/KSaVMU4ANz",New York
12,Flatiron in Non-Covid Times #Hipstamatic #Kutako #Kitsune67 #Standard @ Flatiron Building https://t.co/dznVm01IiV,-0.05,Flatiron in Non-Covid Times #Hipstamatic #Kutako #Kitsune67 #Standard @ Flatiron Building https://t.co/dznVm01IiV,New York
13,Lol looking like SubZero. Can you tell Marianne’s smiling? 😝 #covid_19 #hairsalonsopen! Getting hair done and still being safe 😷 @ Parise Salon https://t.co/barcUPUQlu,0.0,Lol looking like SubZero. Can you tell Marianne’s smiling? 😝 #covid_19 #hairsalonsopen! Getting hair done and still being safe 😷 @ Parise Salon https://t.co/barcUPUQlu,California
14,"Happy to finally see my boy back on the field!  Between the wisdom teeth extraction nightmare and the coronavirus, it has been a long year! ⚾️ @ Panama City Beach Sports Complex https://t.co/TvuRxW0XYS",0.75,"Happy to finally see my boy back on the field!  Between the wisdom teeth extraction nightmare and the coronavirus, it has been a long year! ⚾️ @ Panama City Beach Sports Complex https://t.co/TvuRxW0XYS",Florida
15,"HUMAN KINDNESS ❤️ You can Stream this song along with my Quarantine Collection now on all streaming platforms! 
.
.
.
.
.
.
.

#quarantinesongs #quarantine #covid19 #coronavirus #music #spotify #presave… https://t.co/AhUf4pgKdw",-0.010000000000000007,"HUMAN KINDNESS ❤️ You can Stream this song along with my Quarantine Collection now on all streaming platforms! 
.
.
.
.
.
.
.

#quarantinesongs #quarantine #covid19 #coronavirus #music #spotify #presave… https://t.co/AhUf4pgKdw",California
16,"Happy Pride month! I'm very proud to be an ally to a lot of family and friends in the LGBTQ community. Our pride is postponed due to the Coronavirus pandemic craziness. @ Sioux Falls,… https://t.co/m8KvX9t0v4",0.13968253968253969,"Happy Pride month! I'm very proud to be an ally to a lot of family and friends in the LGBTQ community. Our pride is postponed due to the Coronavirus pandemic craziness. @ Sioux Falls,… https://t.co/m8KvX9t0v4",South Dakota
17,The last of the cherries..#cherrypie #patebrisee #fromscratch #buttercrust #baking #covid #covidbaking #covidcooking #cherries #local #stayhome #sip @ Casa Aguirre of Niles https://t.co/wuSVm8iD5e,0.0,The last of the cherries..#cherrypie #patebrisee #fromscratch #buttercrust #baking #covid #covidbaking #covidcooking #cherries #local #stayhome #sip @ Casa Aguirre of Niles https://t.co/wuSVm8iD5e,California
18,"She don't mind if #IdrisElba give her the corona thirsty much @ Bronx, New York https://t.co/cYaJIpcNIV",0.625,"She don't mind if #IdrisElba give her the corona thirsty much @ Bronx, New York https://t.co/cYaJIpcNIV",New York
